slug,model_id,status,strategy,src_format,src_size,out_size,out_kb,ambiguous,source_page,image_url,hero_image,notes
audemars-piguet-royal-oak-perpetual-calendar,af2c616f-e3f4-4a9d-a75f-b8fe8b2c76f1,dry-run,explicit,PNG,1500x1500,1500x1500,274,yes,https://www.audemarspiguet.com/us/en/watch-collection/royal-oak/26674ST.OO.1320ST.01,https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/watch-1097?wid=1500&hei=1500&fmt=png-alpha,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-af2c616f-e3f4-4a9d-a75f-b8fe8b2c76f1.jpg?v=1788237331031,"26574ST is no longer on the site; chose current 26674ST.OO.1320ST.01 (2025, Cal. 7138, steel, blue). Runner-up 26574ST.OO.1220ST.03 (asset watch-707). | agent verified image/png 1500x1500"
audemars-piguet-royal-oak-selfwinding,b8bf547c-e74e-43d8-90b2-64c6991d5c8d,dry-run,explicit,PNG,1500x1500,1500x1500,208,yes,https://www.audemarspiguet.com/us/en/watch-collection/royal-oak/15510ST.OO.1320ST.01,https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/15510ST.OO.1320ST.01?wid=1500&hei=1500&fmt=png-alpha,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-b8bf547c-e74e-43d8-90b2-64c6991d5c8d.jpg?v=1788237332694,"15510ST.OO.1320ST.01 (steel, steel bracelet, blue Grande Tapisserie). | agent verified image/png 1500x1500"
jaeger-lecoultre-master-ultra-thin-moon,bc58c949-5845-4bab-9186-116edca59ff2,dry-run,explicit,PNG,1700x1700,1500x1500,133,yes,https://www.jaeger-lecoultre.com/us-en/watches/master-ultra-thin/master-ultra-thin-moon-stainless-steel-q1368430,https://img.jaeger-lecoultre.com/product-grid-hero-xl-4/o-dpr-2/feda2d4cfa9d81aecca13ab79693bfcf5a925c72.jpg,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-bc58c949-5845-4bab-9186-116edca59ff2.jpg?v=1788237334497,"Q1368420 no longer hosted; chose current Q1368430 (39mm steel, silvered dial, blue alligator — no bracelet offered); runners-up Q1368471 (black), Q1368480 (blue). | agent verified image 1700x1700"
omega-constellation,fa4cafb6-08a8-4a93-a599-df3a4fdddf5d,dry-run,explicit,PNG,1600x1600,1500x1500,196,yes,https://www.omegawatches.com/en-us/watch-omega-constellation-co-axial-master-chronometer-41-mm-13130412101001,https://www.omegawatches.com/media/catalog/product/o/m/omega-constellation-co-axial-master-chronometer-41-mm-13130412101001-edc6ff.png?w=1600,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-fa4cafb6-08a8-4a93-a599-df3a4fdddf5d.jpg?v=1788237369499,"131.30.41.21.01.001 (steel + steel bracelet, black dial, black ceramic bezel); runner-up blue 131.30.41.21.03.001. Collection spans 150+ models. | agent verified image/png 1600x1600 | fetched with plain UA after browser-UA failure"
patek-philippe-nautilus,15f20715-772e-4e99-934f-53ae52a40ba3,dry-run,explicit,PNG,1920x2691,1070x1500,197,yes,https://www.patek.com/en/collection/nautilus/5726-1a-014,https://patek-res.cloudinary.com/dfsmedia/0906caea301d42b3b8bd23bd656d1711/202222-51889,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-15f20715-772e-4e99-934f-53ae52a40ba3.jpg?v=1788237371423,"AMBIGUOUS: no steel three-hand Nautilus is in the current catalogue (5711/1A gone, 5811 is white gold). Chose 5726/1A-014 (steel, steel bracelet, blue gradient dial, annual calendar) per the steel rule; runners-up 5811/1G-001 (white gold, closest to the 5711 look) and 5990/1A-011. Revisit if you'd rather show the white-gold 5811. | agent verified image/png 1920x2691"
tudor-black-bay,de037ec8-3fc3-47c5-8da3-3717bbc02a64,dry-run,explicit,JPEG,1600x1600,1500x1500,142,yes,https://www.tudorwatch.com/en/watches/black-bay/m7941a1a0ru-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-ob/tudor-m7941a1a0ru-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-de037ec8-3fc3-47c5-8da3-3717bbc02a64.jpg?v=1788237374132,"41mm steel, burgundy bezel, 3-link steel bracelet, M7941A1A0RU-0001. Unbranded upright-ob asset (the og variant carries a logo overlay)."
tudor-pelagos,a0a86fd0-913e-4d9e-a0d5-b1c13d47e2b3,dry-run,explicit,JPEG,1600x1600,1500x1500,145,yes,https://www.tudorwatch.com/en/watches/pelagos/m25600tn-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-ob/tudor-m25600tn-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-a0a86fd0-913e-4d9e-a0d5-b1c13d47e2b3.jpg?v=1788237376650,"Titanium is the only case — 42mm black, M25600TN. Replaces the Wikimedia image. Unbranded upright-ob asset (the og variant carries a logo overlay)."
tudor-pelagos-39,10f75b55-41ef-4789-91bb-ed9a47952a1b,dry-run,explicit,JPEG,1600x1600,1500x1500,110,yes,https://www.tudorwatch.com/en/watches/pelagos/m25407n-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-ob/tudor-m25407n-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-10f75b55-41ef-4789-91bb-ed9a47952a1b.jpg?v=1788237379219,"Titanium 39mm, M25407N. Replaces the Wikimedia image. Unbranded upright-ob asset (the og variant carries a logo overlay)."
tudor-pelagos-fxd-gmt,6570f08d-02c2-4b73-a8a5-ebda8a82842f,dry-run,explicit,JPEG,1600x1600,1500x1500,213,yes,https://www.tudorwatch.com/en/watches/pelagos-fxd/m2542gxx7nu-0002,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-ob/tudor-m2542gxx7nu-0002",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-6570f08d-02c2-4b73-a8a5-ebda8a82842f.jpg?v=1788237382042,Pelagos FXD GMT — ref M2542GXX7NU-0002 from the Pelagos FXD family page (fabric strap is the only option). Replaces the Wikimedia image. Unbranded upright-ob asset (the og variant carries a logo overlay).
vacheron-constantin-overseas,dd067e47-32b7-4cec-8e9e-7c8c96523541,failed,explicit,,,,0,yes,https://www.vacheron-constantin.com/us/en/collections/overseas/4520v-210a-b128.html,https://www.vacheron-constantin.com/dam/rcq/vac/os/Cb/fi/ew/uU/ym/am/PZ/Qu/r_/NQ/osCbfiewuUymamPZQur_NQ.png,,"4500V/110A-B128 redirects now; chose current 4520V/210A-B128 (41mm steel, steel bracelet, blue dial). | agent verified image/png 2829x4000 | image fetch failed: HTTPSConnectionPool(host='www.vacheron-constantin.com', port=443): Read timed out. (read timeout=30)"
