slug,model_id,status,strategy,src_format,src_size,out_size,out_kb,ambiguous,source_page,image_url,hero_image,notes
audemars-piguet-royal-oak-perpetual-calendar,af2c616f-e3f4-4a9d-a75f-b8fe8b2c76f1,ok,explicit,PNG,1500x1500,1500x1500,274,yes,https://www.audemarspiguet.com/us/en/watch-collection/royal-oak/26674ST.OO.1320ST.01,https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/watch-1097?wid=1500&hei=1500&fmt=png-alpha,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-af2c616f-e3f4-4a9d-a75f-b8fe8b2c76f1.jpg?v=1788237669411,"26574ST is no longer on the site; chose current 26674ST.OO.1320ST.01 (2025, Cal. 7138, steel, blue). Runner-up 26574ST.OO.1220ST.03 (asset watch-707). | agent verified image/png 1500x1500"
audemars-piguet-royal-oak-selfwinding,b8bf547c-e74e-43d8-90b2-64c6991d5c8d,ok,explicit,PNG,1500x1500,1500x1500,208,yes,https://www.audemarspiguet.com/us/en/watch-collection/royal-oak/15510ST.OO.1320ST.01,https://dynamicmedia.audemarspiguet.com/is/image/audemarspiguet/15510ST.OO.1320ST.01?wid=1500&hei=1500&fmt=png-alpha,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-b8bf547c-e74e-43d8-90b2-64c6991d5c8d.jpg?v=1788237671867,"15510ST.OO.1320ST.01 (steel, steel bracelet, blue Grande Tapisserie). | agent verified image/png 1500x1500"
casio-duro,949d719e-a54b-4ec0-8611-abf091066eab,failed,chrome,AVIF,408x489,,0,yes,https://www.casio.com/us/watches/casio/product.MDV-106-1AV/,https://www.casio.com/content/dam/casio/product-info/locales/us/en/timepiece/product/watch/M/md/mdv/mdv-106-1av/us-assets/MDV106-1A.png.transform/main-visual-pc/image.png,,"MDV106-1AV black dial on resin strap (the only official option). casio.com is behind Akamai; fetched through a real Chrome session. | convert failed: source only 408x489 — thumbnail, rejected"
citizen-chandler,825e8b99-8c7a-4f1b-8b63-23864f376f85,ok,explicit,WEBP,1160x2048,850x1500,239,yes,https://www.citizenwatch.com/us/en/product/BM8180-03E,https://citizenwatch.widen.net/content/gzoliud0hm/webp,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-825e8b99-8c7a-4f1b-8b63-23864f376f85.jpg?v=1788237684258,BM8180-03E black dial on green nylon — the only official configuration (Citizen US now calls it 'Garrison'). | agent verified image/webp 1160x2048
citizen-promaster-diver,30b6fad7-4bbb-4a7e-8aa7-9f9849910f7e,ok,explicit,WEBP,1251x2048,916x1500,216,yes,https://www.citizenwatch.com/us/en/product/BN0150-28E,https://citizenwatch.widen.net/content/t0dosari4z/webp,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-30b6fad7-4bbb-4a7e-8aa7-9f9849910f7e.jpg?v=1788237686594,BN0150-28E black dial on polyurethane strap — no bracelet variant is on the US site (BN0150-61E / BN0151-17L 404). | agent verified image/webp 1251x2048
jaeger-lecoultre-master-ultra-thin-moon,bc58c949-5845-4bab-9186-116edca59ff2,ok,explicit,PNG,1700x1700,1500x1500,133,yes,https://www.jaeger-lecoultre.com/us-en/watches/master-ultra-thin/master-ultra-thin-moon-stainless-steel-q1368430,https://img.jaeger-lecoultre.com/product-grid-hero-xl-4/o-dpr-2/feda2d4cfa9d81aecca13ab79693bfcf5a925c72.jpg,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-bc58c949-5845-4bab-9186-116edca59ff2.jpg?v=1788237688999,"Q1368420 no longer hosted; chose current Q1368430 (39mm steel, silvered dial, blue alligator — no bracelet offered); runners-up Q1368471 (black), Q1368480 (blue). | agent verified image 1700x1700"
omega-constellation,fa4cafb6-08a8-4a93-a599-df3a4fdddf5d,ok,explicit,PNG,1600x1600,1500x1500,196,yes,https://www.omegawatches.com/en-us/watch-omega-constellation-co-axial-master-chronometer-41-mm-13130412101001,https://www.omegawatches.com/media/catalog/product/o/m/omega-constellation-co-axial-master-chronometer-41-mm-13130412101001-edc6ff.png?w=1600,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-fa4cafb6-08a8-4a93-a599-df3a4fdddf5d.jpg?v=1788237724499,"131.30.41.21.01.001 (steel + steel bracelet, black dial, black ceramic bezel); runner-up blue 131.30.41.21.03.001. Collection spans 150+ models. | agent verified image/png 1600x1600 | fetched with plain UA after browser-UA failure"
orient-kamasu,c3bd2310-9a61-4fcd-a8d8-54067bc142de,ok,explicit,PNG,1600x1067,1500x1000,169,yes,https://orient-watch.com/en/orient/collection/sports/diver-design/RA-AA0001B/,https://www.orientwatchusa.com/cdn/shop/files/kamasu-4336362.png?v=1787002521,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-c3bd2310-9a61-4fcd-a8d8-54067bc142de.jpg?v=1788237727557,"RA-AA0001B (black dial, steel bracelet) — RA-AA0004E is the green one; runner-up blue RA-AA0002L. Image from Orient Watch USA (Orient's own US site). | agent verified image/png 1600x1067"
patek-philippe-nautilus,15f20715-772e-4e99-934f-53ae52a40ba3,ok,explicit,PNG,1920x2691,1070x1500,197,yes,https://www.patek.com/en/collection/nautilus/5726-1a-014,https://patek-res.cloudinary.com/dfsmedia/0906caea301d42b3b8bd23bd656d1711/202222-51889,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-15f20715-772e-4e99-934f-53ae52a40ba3.jpg?v=1788237730022,"AMBIGUOUS: no steel three-hand Nautilus is in the current catalogue (5711/1A gone, 5811 is white gold). Chose 5726/1A-014 (steel, steel bracelet, blue gradient dial, annual calendar) per the steel rule; runners-up 5811/1G-001 (white gold, closest to the 5711 look) and 5990/1A-011. Revisit if you'd rather show the white-gold 5811. | agent verified image/png 1920x2691"
seiko-5-sports,886aa11d-f83e-45bc-8d80-fd10dcc12342,ok,explicit,PNG,1102x1102,1102x1102,149,yes,https://www.seikowatches.com/us-en/products/5sports/srpd55,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/02/20/02/14/SRPD55K1/SRPD55K1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-886aa11d-f83e-45bc-8d80-fd10dcc12342.jpg?v=1788237732465,SRPD55K1 black dial on steel bracelet. | agent verified image/png 1102x1102
seiko-5-sports-field,2dd6a038-2627-4a9e-af7b-389a4bb8a1ef,ok,explicit,PNG,1102x1102,1102x1102,138,yes,https://www.seikowatches.com/us-en/products/5sports/srpg27,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/02/20/02/37/SRPG27K1/SRPG27K1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-2dd6a038-2627-4a9e-af7b-389a4bb8a1ef.jpg?v=1788237734589,"SRPG27 (black dial, steel bracelet); SRPG35 is on a nylon NATO so fails the bracelet rule. | agent verified image/png 1102x1102"
seiko-5-sports-gmt,b7518fc6-529c-4480-b218-c167a3afe551,ok,explicit,PNG,1102x1102,1102x1102,170,yes,https://www.seikowatches.com/us-en/products/5sports/ssk001,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/06/02/11/39/SSK001K1/SSK001K1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-b7518fc6-529c-4480-b218-c167a3afe551.jpg?v=1788237736766,SSK001 black on jubilee; runner-up SSK003 blue. | agent verified image/png 1102x1102
seiko-alpinist,7438a28e-fe65-4670-a66c-17c7a2fdae5e,ok,explicit,PNG,1102x1102,1102x1102,159,yes,https://www.seikowatches.com/us-en/products/prospex/spb117j1,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/02/20/00/45/SPB117J1/SPB117J1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-7438a28e-fe65-4670-a66c-17c7a2fdae5e.jpg?v=1788237738775,"AMBIGUOUS: chose SPB117J1 (black dial, steel bracelet) per the bracelet rule; the iconic green SPB121J1 is on brown leather (image .../America/Seiko/prospex/SPB121J1/SPB121J1.png if you prefer the green). | agent verified image/png 1102x1102"
seiko-prospex-1965-diver-s-modern-re-interpretation,68ccd2e0-d90c-442f-9ff4-a3a5dcc85240,ok,explicit,PNG,1102x1102,1102x1102,125,yes,https://www.seikowatches.com/us-en/products/prospex/1965diver,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/America/Seiko/prospex/SPB143J1/SPB143J1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-68ccd2e0-d90c-442f-9ff4-a3a5dcc85240.jpg?v=1788237740897,"SPB143J1 on steel bracelet; product page retired, line page used. | agent verified image/png 1102x1102"
seiko-prospex-speedtimer-solar-chronograph,bbead435-b476-4cb0-9c8e-1cb6a9747a4e,ok,explicit,PNG,1102x1102,1102x1102,174,yes,https://www.seikowatches.com/us-en/products/prospex/special/speedtimer/solar/,https://www.seikowatches.com/jp-ja/-/media/Images/Product--Image/All/Seiko/2022/02/19/11/10/SBDL085/SBDL085.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-bbead435-b476-4cb0-9c8e-1cb6a9747a4e.jpg?v=1788237742985,"AMBIGUOUS: SSC813 panda on bracelet; no SSC813 packshot survives on seikowatches.com, so the image is Seiko Japan's packshot of SBDL085, its JDM twin (identical case/dial/bracelet). | agent verified image/png 1102x1102"
seiko-turtle,76da414d-4b77-4f91-82b3-70b255d65240,ok,explicit,PNG,1102x1102,1102x1102,155,yes,https://www.seikowatches.com/us-en/products/prospex/srpe93,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/02/20/02/27/SRPE93K1/SRPE93K1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-76da414d-4b77-4f91-82b3-70b255d65240.jpg?v=1788237745056,AMBIGUOUS: SRPE93K1 black dial on silicone — Seiko US lists no black-dial Turtle on bracelet today; the only bracelet Turtle live is the PADI Pepsi SRPE99K1. SRP777 has no official page. | agent verified image/png 1102x1102
tudor-black-bay,de037ec8-3fc3-47c5-8da3-3717bbc02a64,ok,explicit,JPEG,1600x1600,1500x1500,142,yes,https://www.tudorwatch.com/en/watches/black-bay/m7941a1a0ru-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-ob/tudor-m7941a1a0ru-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-de037ec8-3fc3-47c5-8da3-3717bbc02a64.jpg?v=1788237747628,"41mm steel, burgundy bezel, 3-link steel bracelet, M7941A1A0RU-0001. Unbranded upright-ob asset (the og variant carries a logo overlay)."
tudor-pelagos,a0a86fd0-913e-4d9e-a0d5-b1c13d47e2b3,ok,explicit,JPEG,1600x1600,1500x1500,145,yes,https://www.tudorwatch.com/en/watches/pelagos/m25600tn-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-ob/tudor-m25600tn-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-a0a86fd0-913e-4d9e-a0d5-b1c13d47e2b3.jpg?v=1788237750052,"Titanium is the only case — 42mm black, M25600TN. Replaces the Wikimedia image. Unbranded upright-ob asset (the og variant carries a logo overlay)."
tudor-pelagos-39,10f75b55-41ef-4789-91bb-ed9a47952a1b,ok,explicit,JPEG,1600x1600,1500x1500,110,yes,https://www.tudorwatch.com/en/watches/pelagos/m25407n-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-ob/tudor-m25407n-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-10f75b55-41ef-4789-91bb-ed9a47952a1b.jpg?v=1788237752463,"Titanium 39mm, M25407N. Replaces the Wikimedia image. Unbranded upright-ob asset (the og variant carries a logo overlay)."
tudor-pelagos-fxd-gmt,6570f08d-02c2-4b73-a8a5-ebda8a82842f,ok,explicit,JPEG,1600x1600,1500x1500,213,yes,https://www.tudorwatch.com/en/watches/pelagos-fxd/m2542gxx7nu-0002,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-ob/tudor-m2542gxx7nu-0002",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-6570f08d-02c2-4b73-a8a5-ebda8a82842f.jpg?v=1788237755064,Pelagos FXD GMT — ref M2542GXX7NU-0002 from the Pelagos FXD family page (fabric strap is the only option). Replaces the Wikimedia image. Unbranded upright-ob asset (the og variant carries a logo overlay).
vacheron-constantin-overseas,dd067e47-32b7-4cec-8e9e-7c8c96523541,ok,chrome,AVIF,960x1357,960x1357,174,yes,https://www.vacheron-constantin.com/us/en/collections/overseas/4520v-210a-b128.html,https://www.vacheron-constantin.com/dam/rcq/vac/os/Cb/fi/ew/uU/ym/am/PZ/Qu/r_/NQ/osCbfiewuUymamPZQur_NQ.png.transform.vacdetail.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-dd067e47-32b7-4cec-8e9e-7c8c96523541.jpg?v=1788237765834,"4500V/110A-B128 redirects now; chose current 4520V/210A-B128 (41mm steel, steel bracelet, blue dial). | agent verified image/png 2829x4000 Only the 960x1357 rendition could be retrieved (the 4000px original times out on their DAM)."
