slug,model_id,status,strategy,src_format,src_size,out_size,out_kb,ambiguous,source_page,image_url,hero_image,notes
casio-duro,949d719e-a54b-4ec0-8611-abf091066eab,failed,chrome,GIF,1x1,,0,yes,https://www.casio.com/us/watches/casio/product.MDV-106-1AV/,https://www.google.com/pagead/1p-user-list/10897145411/?random=1788237564070&cv=11&fst=1788235200000&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45be68s1v869579130z8858646966za20gzb858646966zd858646966xec&gcd=13t3t3t3t5l1&dma=0&tag_exp=115938465~115938469~117776795~118897920~118897930~120213116~120385423&u_w=1400&u_h=1000&url=https%3A%2F%2Fwww.casio.com%2Fus%2Fwatches%2Fcasio%2Fproduct.MDV-106-1AV%2F&rcb=5&frm=0&tiba=MDV106-1A%20%7C%20Casio%20Dive-Watch%20Style%20Silver%20Watch%20%7C%20Casio&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=537730486.1788237564&uaa=x86&uab=64&uafvl=Chromium%3B152.0.7977.65%7CNot%253FA_Brand%3B24.0.0.0%7CGoogle%2520Chrome%3B152.0.7977.65&uamb=0&uam=&uap=macOS&uapv=10_15_7&uaw=0&_tu=CA&data=event%3Dgtag.config&ept=9&rfmt=3&fmt=3&is_vtc=1&cid=CAQS0wEAQM4h3LRKVDaGdh7dsix7UwcX9Ybvyj2GEhkMr4urJ_OyvyN6Y5pJ-fvzJll1Y_YxHBA4Oc9AmgLjP8fOfVJDIOWXNpN7Ep_oUgcTMZZwZRxgaA-M51UlKv-Icd3yI0wcRdihrKd4g-CetwgxS0a6GzFmVTimPF6tGkKgIeIaqKzilXJ5bjH-w2t6cTSquUYmtxpzn1Xji__T6z0VI6MtyREV6CHLShiG7Nk13GNrUZB-qY_lMtFj8ovIn5O4PG-WOmQm7cuPGrUsIxso3T5t1kzU&random=2897816987&rmt_tld=0&ipr=y,,"MDV106-1AV black dial on resin strap (the only official option). casio.com is behind Akamai; fetched through a real Chrome session. | convert failed: source only 1x1 — thumbnail, rejected"
citizen-chandler,825e8b99-8c7a-4f1b-8b63-23864f376f85,dry-run,explicit,WEBP,1160x2048,850x1500,239,yes,https://www.citizenwatch.com/us/en/product/BM8180-03E,https://citizenwatch.widen.net/content/gzoliud0hm/webp,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-825e8b99-8c7a-4f1b-8b63-23864f376f85.jpg?v=1788237573825,BM8180-03E black dial on green nylon — the only official configuration (Citizen US now calls it 'Garrison'). | agent verified image/webp 1160x2048
citizen-promaster-diver,30b6fad7-4bbb-4a7e-8aa7-9f9849910f7e,dry-run,explicit,WEBP,1251x2048,916x1500,216,yes,https://www.citizenwatch.com/us/en/product/BN0150-28E,https://citizenwatch.widen.net/content/t0dosari4z/webp,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-30b6fad7-4bbb-4a7e-8aa7-9f9849910f7e.jpg?v=1788237575611,BN0150-28E black dial on polyurethane strap — no bracelet variant is on the US site (BN0150-61E / BN0151-17L 404). | agent verified image/webp 1251x2048
orient-kamasu,c3bd2310-9a61-4fcd-a8d8-54067bc142de,dry-run,explicit,PNG,1600x1067,1500x1000,169,yes,https://orient-watch.com/en/orient/collection/sports/diver-design/RA-AA0001B/,https://www.orientwatchusa.com/cdn/shop/files/kamasu-4336362.png?v=1787002521,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-c3bd2310-9a61-4fcd-a8d8-54067bc142de.jpg?v=1788237577551,"RA-AA0001B (black dial, steel bracelet) — RA-AA0004E is the green one; runner-up blue RA-AA0002L. Image from Orient Watch USA (Orient's own US site). | agent verified image/png 1600x1067"
seiko-5-sports,886aa11d-f83e-45bc-8d80-fd10dcc12342,dry-run,explicit,PNG,1102x1102,1102x1102,149,yes,https://www.seikowatches.com/us-en/products/5sports/srpd55,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/02/20/02/14/SRPD55K1/SRPD55K1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-886aa11d-f83e-45bc-8d80-fd10dcc12342.jpg?v=1788237579331,SRPD55K1 black dial on steel bracelet. | agent verified image/png 1102x1102
seiko-5-sports-field,2dd6a038-2627-4a9e-af7b-389a4bb8a1ef,dry-run,explicit,PNG,1102x1102,1102x1102,138,yes,https://www.seikowatches.com/us-en/products/5sports/srpg27,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/02/20/02/37/SRPG27K1/SRPG27K1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-2dd6a038-2627-4a9e-af7b-389a4bb8a1ef.jpg?v=1788237580976,"SRPG27 (black dial, steel bracelet); SRPG35 is on a nylon NATO so fails the bracelet rule. | agent verified image/png 1102x1102"
seiko-5-sports-gmt,b7518fc6-529c-4480-b218-c167a3afe551,dry-run,explicit,PNG,1102x1102,1102x1102,170,yes,https://www.seikowatches.com/us-en/products/5sports/ssk001,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/06/02/11/39/SSK001K1/SSK001K1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-b7518fc6-529c-4480-b218-c167a3afe551.jpg?v=1788237582585,SSK001 black on jubilee; runner-up SSK003 blue. | agent verified image/png 1102x1102
seiko-alpinist,7438a28e-fe65-4670-a66c-17c7a2fdae5e,dry-run,explicit,PNG,1102x1102,1102x1102,159,yes,https://www.seikowatches.com/us-en/products/prospex/spb117j1,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/All/Seiko/2022/02/20/00/45/SPB117J1/SPB117J1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-7438a28e-fe65-4670-a66c-17c7a2fdae5e.jpg?v=1788237584186,"AMBIGUOUS: chose SPB117J1 (black dial, steel bracelet) per the bracelet rule; the iconic green SPB121J1 is on brown leather (image .../America/Seiko/prospex/SPB121J1/SPB121J1.png if you prefer the green). | agent verified image/png 1102x1102"
seiko-prospex-1965-diver-s-modern-re-interpretation,68ccd2e0-d90c-442f-9ff4-a3a5dcc85240,dry-run,explicit,PNG,1102x1102,1102x1102,125,yes,https://www.seikowatches.com/us-en/products/prospex/1965diver,https://www.seikowatches.com/us-en/-/media/Images/Product--Image/America/Seiko/prospex/SPB143J1/SPB143J1.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-68ccd2e0-d90c-442f-9ff4-a3a5dcc85240.jpg?v=1788237586591,"SPB143J1 on steel bracelet; product page retired, line page used. | agent verified image/png 1102x1102"
seiko-prospex-speedtimer-solar-chronograph,bbead435-b476-4cb0-9c8e-1cb6a9747a4e,dry-run,explicit,PNG,1102x1102,1102x1102,174,yes,https://www.seikowatches.com/us-en/products/prospex/special/speedtimer/solar/,https://www.seikowatches.com/jp-ja/-/media/Images/Product--Image/All/Seiko/2022/02/19/11/10/SBDL085/SBDL085.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-bbead435-b476-4cb0-9c8e-1cb6a9747a4e.jpg?v=1788237588998,"AMBIGUOUS: SSC813 panda on bracelet; no SSC813 packshot survives on seikowatches.com, so the image is Seiko Japan's packshot of SBDL085, its JDM twin (identical case/dial/bracelet). | agent verified image/png 1102x1102"
