slug,model_id,status,strategy,src_format,src_size,out_size,out_kb,ambiguous,source_page,image_url,hero_image,notes
baltic-aquascaphe,097ceb66-85e3-4742-aad7-fc3ac328e70a,dry-run,explicit,PNG,1353x2000,1015x1500,251,yes,https://baltic-watches.com/en/products/aquascaphe-classic-black-gilt,https://cdn.shopify.com/s/files/1/0012/9299/2583/files/Baltic_Aquascaphe_Mk1_Gilt_Face_1353x2000_BOR.png?v=1745846946,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-097ceb66-85e3-4742-aad7-fc3ac328e70a.jpg?v=1788236524002,Black Gilt on beads-of-rice bracelet — the only black-dial Classic still listed; runner-up Blue Gilt. | verified image/png 1353x2000
breitling-navitimer-b01-chronograph-43,497fc8c4-3955-4f60-8caf-ff41cb0f1088,dry-run,explicit,PNG,2100x2100,1500x1500,188,yes,https://www.breitling.com/us-en/watches/navitimer/navitimer-b01-chronograph-43-my22/AB0138211B1A1/,https://www-breitling.eu.saleor.cloud/media/products/ab0138211b1a1-soldier_7d7651b2.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-497fc8c4-3955-4f60-8caf-ff41cb0f1088.jpg?v=1788236525956,"Steel bracelet, black dial AB0138211B1A1; runner-up blue AB0138241C1A1. Replaces the Wikimedia image. | agent verified image/png 2100x2100"
bulova-lunar-pilot,02ec31eb-194c-497f-be44-00ecdba6ab03,dry-run,explicit,JPEG,1600x2000,1200x1500,227,yes,https://www.bulova.com/global/product/96B258.html,https://citizenwatch.widen.net/content/9peiqjvk4r/jpeg/Lunar+Pilot.jpeg?u=41zuoe&width=1600&height=2000&quality=80&crop=false&keep=c&color=F9F8F6,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-02ec31eb-194c-497f-be44-00ecdba6ab03.jpg?v=1788236528126,Chose 96B258 as briefed (page title says brown strap; photos show the steel bracelet). Runner-up 96K111 (current 43.5mm). Image on the Citizen Group DAM bulova.com embeds. | verified image/jpeg 1600x2000
bulova-marine-star,3ef94780-e414-47de-8680-896f511f8a98,dry-run,explicit,JPEG,1600x2000,1200x1500,254,yes,https://www.bulova.com/us/en/product/96B256.html,https://citizenwatch.widen.net/content/lto4mzvyuw/jpeg?u=41zuoe&width=1600&height=2000&quality=80&crop=false&keep=c&color=F9F8F6,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-3ef94780-e414-47de-8680-896f511f8a98.jpg?v=1788236530157,"Chose 96B256 (44mm steel, steel bracelet, blue dial); rejected 98A227 (rose-gold tone on silicone). | verified image/jpeg 1600x2000"
hamilton-khaki-king,4dec5eef-ffb1-41bd-931f-b502e948499c,dry-run,explicit,PNG,2000x2000,1500x1500,223,yes,https://www.hamiltonwatch.com/en-us/h64455133-khaki-field-king-auto.html,https://www.hamiltonwatch.com/media/catalog/product/h/6/h64455133.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-4dec5eef-ffb1-41bd-931f-b502e948499c.jpg?v=1788236563446,"Chose H64455133 (black dial, steel bracelet); runner-up H64455533 (same dial, alternate bracelet). | verified image/png 2000x2000 | fetched with plain UA after browser-UA failure"
invicta-pro-diver,8a72f0f9-9298-4fb0-8cc2-e707b0bac9db,dry-run,explicit,WEBP,477x850,477x850,75,yes,https://www.invictawatch.com/watches/detail/8926ob-invicta-pro-diver-men-40mm-stainless-steel-stainless-steel-black-dial-nh35a-automatic,https://www.invictawatch.com/storage/products/8926/catalogshot_l.webp,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-8a72f0f9-9298-4fb0-8cc2-e707b0bac9db.jpg?v=1788236565540,"8926OB (40mm steel bracelet, black dial). Largest rendition Invicta serves is 477x850 — above the 600px floor, below the 1200px preference. | verified image/webp 477x850"
longines-hydroconquest,eb255642-d1ce-4d46-9245-8a6a142b8bb1,dry-run,explicit,PNG,2000x2000,1500x1500,150,yes,https://www.longines.com/en-us/p/watch-hydroconquest-l3-781-4-56-6,https://api.ecom.longines.com/media/catalog/product/w/a/watch-collection-hydroconquest-l3-781-4-56-6-d65499-hero.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-eb255642-d1ce-4d46-9245-8a6a142b8bb1.jpg?v=1788236587794,"Chose L3.781.4.56.6 (41mm, black dial, black ceramic bezel, steel bracelet); runner-up L3.781.4.05.6. | verified image/png 2000x2000 | fetched with plain UA after browser-UA failure"
longines-spirit-zulu-time,e5013788-7c03-44d4-aa4b-b41136ae1c66,dry-run,explicit,PNG,2000x2000,1500x1500,171,yes,https://www.longines.com/en-us/p/watch-longines-spirit-zulu-time-l3-812-4-53-6,https://api.ecom.longines.com/media/catalog/product/w/a/watch-collection-longines-spirit-zulu-time-l3-812-4-53-6-163029-hero.png,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-e5013788-7c03-44d4-aa4b-b41136ae1c66.jpg?v=1788236617593,"Chose 42mm L3.812.4.53.6 (black dial, steel bracelet); runner-up 39mm L3.802.4.53.6. | verified image/png 2000x2000 | fetched with plain UA after browser-UA failure"
mr-jones-watches-a-perfectly-useless-afternoon,420a2302-af45-4b6a-b4de-e1d33c945aa4,dry-run,explicit,JPEG,940x1200,940x1200,98,yes,https://www.mrjoneswatches.com/products/a-perfectly-useless-afternoon,https://cdn.shopify.com/s/files/1/1348/3759/files/103-V0-A-Perfectly-Useless-Afternoon_menu_1.jpg?v=1756455011,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-420a2302-af45-4b6a-b4de-e1d33c945aa4.jpg?v=1788236619294,Single reference; steel mesh bracelet version. Native 940x1200. | verified image/jpeg 940x1200
omega-speedmaster,821211ce-2b4b-4d8d-99f1-e2198131de94,dry-run,explicit,PNG,1500x1500,1500x1500,275,yes,https://www.omegawatches.com/en-us/watch-omega-speedmaster-57-co-axial-master-chronometer-chronograph-40-5-mm-33210415101001,https://www.omegawatches.com/media/catalog/product/o/m/omega-speedmaster-_57-co-axial-master-chronometer-chronograph-40-5-mm-33210415101001-33a18b.png?w=1500,https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-821211ce-2b4b-4d8d-99f1-e2198131de94.jpg?v=1788236653960,"Non-Professional Speedmaster family: chose Speedmaster '57 332.10.41.51.01.001 (steel bracelet, black dial); runners-up '57 blue/green, Racing. Replaces the Wikimedia image. | agent verified image/png 1500x1500 | fetched with plain UA after browser-UA failure"
