slug,model_id,status,strategy,src_format,src_size,out_size,out_kb,ambiguous,source_page,image_url,hero_image,notes
rolex-datejust-36,948f4b33-7993-496d-97ae-ca2e68211eae,ok,chrome,JPEG,1600x2381,1008x1500,92,yes,https://www.rolex.com/en-us/watches/datejust/m126200-0005,"https://media.rolex.com/image/upload/c_limit,w_1600,f_jpg/v1/a677b2c664f6/catalogue/2026/upright-c/m126200-0005",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-948f4b33-7993-496d-97ae-ca2e68211eae.jpg?v=1788236333432,"Oystersteel on Jubilee, ref 126200-0005 (bright blue dial). Many dial variants — chose the all-steel reference."
rolex-day-date,980081af-74a9-4d90-963a-dcce1e4bb95b,ok,chrome,JPEG,1600x2381,1008x1500,107,yes,https://www.rolex.com/en-us/watches/day-date/m228238-0042,"https://media.rolex.com/image/upload/c_limit,w_1600,f_jpg/v1/a677b2c664f6/catalogue/2026/upright-c/m228238-0042",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-980081af-74a9-4d90-963a-dcce1e4bb95b.jpg?v=1788236344029,"No steel Day-Date exists — chose yellow gold 40, ref 228238. Replaces the Wikimedia image."
rolex-day-date-36,b7b0ec32-4382-442c-aa73-cf9e13eb219e,ok,chrome,JPEG,1600x2381,1008x1500,97,yes,https://www.rolex.com/en-us/watches/day-date/m128238-0069,"https://media.rolex.com/image/upload/c_limit,w_1600,f_jpg/v1/a677b2c664f6/catalogue/2026/upright-c/m128238-0069",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-b7b0ec32-4382-442c-aa73-cf9e13eb219e.jpg?v=1788236354976,"Gold only — yellow gold 36, ref 128238. Replaces the Wikimedia image."
rolex-sea-dweller,19b12e18-f7dc-494f-a477-75f319e8443d,ok,chrome,JPEG,1600x2381,1008x1500,106,yes,https://www.rolex.com/en-us/watches/sea-dweller/m126600-0002,"https://media.rolex.com/image/upload/c_limit,w_1600,f_jpg/v1/a677b2c664f6/catalogue/2026/upright-c/m126600-0002",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-19b12e18-f7dc-494f-a477-75f319e8443d.jpg?v=1788236365756,Oystersteel 43mm ref 126600. Replaces the Wikimedia image.
rolex-sea-dweller-deepsea,6bd52131-2aed-438e-bb7a-4724a791efcc,ok,chrome,JPEG,1600x2381,1008x1500,111,yes,https://www.rolex.com/en-us/watches/deepsea/m136660-0005,"https://media.rolex.com/image/upload/c_limit,w_1600,f_jpg/v1/a677b2c664f6/catalogue/2026/upright-c/m136660-0005",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-6bd52131-2aed-438e-bb7a-4724a791efcc.jpg?v=1788236376460,Deepsea 44mm ref 136660-0005 — this is the D-Blue dial (the only current steel Deepsea on the family page); Replaces the Wikimedia image.
rolex-yacht-master-37,7abe6acd-d6fc-4966-95c7-a5da8158c06f,ok,chrome,JPEG,1600x2381,1008x1500,86,yes,https://www.rolex.com/en-us/watches/yacht-master/m268622-0002,"https://media.rolex.com/image/upload/c_limit,w_1600,f_jpg/v1/a677b2c664f6/catalogue/2026/upright-c/m268622-0002",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-7abe6acd-d6fc-4966-95c7-a5da8158c06f.jpg?v=1788236387034,"Rolesium ref 268622, slate dial — steel equivalent of the 40."
rolex-yacht-master-40,f8b50849-1be5-4de4-a7ec-a4c3be867aa3,ok,chrome,JPEG,1600x2381,1008x1500,99,yes,https://www.rolex.com/en-us/watches/yacht-master/m126622-0001,"https://media.rolex.com/image/upload/c_limit,w_1600,f_jpg/v1/a677b2c664f6/catalogue/2026/upright-c/m126622-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-f8b50849-1be5-4de4-a7ec-a4c3be867aa3.jpg?v=1788236397493,"Rolesium (steel + platinum bezel), ref 126622 — the standard steel YM40."
tudor-black-bay,de037ec8-3fc3-47c5-8da3-3717bbc02a64,ok,chrome,JPEG,1600x2133,1125x1500,185,yes,https://www.tudorwatch.com/en/watches/black-bay/m7941a1a0ru-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-cb-with-drop-shadow/tudor-m7941a1a0ru-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-de037ec8-3fc3-47c5-8da3-3717bbc02a64.jpg?v=1788236408170,"41mm steel, burgundy bezel, 3-link steel bracelet, M7941A1A0RU-0001."
tudor-pelagos,a0a86fd0-913e-4d9e-a0d5-b1c13d47e2b3,ok,chrome,JPEG,1600x2133,1125x1500,188,yes,https://www.tudorwatch.com/en/watches/pelagos/m25600tn-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-cb-with-drop-shadow/tudor-m25600tn-0001",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-a0a86fd0-913e-4d9e-a0d5-b1c13d47e2b3.jpg?v=1788236418931,"Titanium is the only case — 42mm black, M25600TN. Replaces the Wikimedia image."
tudor-pelagos-39,10f75b55-41ef-4789-91bb-ed9a47952a1b,ok,chrome,JPEG,1600x2133,1125x1500,160,yes,https://www.tudorwatch.com/en/watches/pelagos/m25407n-0001,"https://media.tudorwatch.com/image/upload/c_limit,w_1600,f_jpg/v1/catalogue/0yi5ee8b69yh3/upright-cb-with-drop-shadow/tudor-m25407n-0001-ab__black_rubber__52970",https://api.wrotate.com/storage/v1/object/public/media/watches/d70b1a85-4f31-4431-b3b7-db76543daaf5/model-10f75b55-41ef-4789-91bb-ed9a47952a1b.jpg?v=1788236429745,"Titanium 39mm, M25407N. Replaces the Wikimedia image."
